title,placeId,location/lat,location/lng,categoryName,address,comfort_cozy_score,spicy_hot_score,fresh_healthy_score,cheap_budget_score,quick_fast_score
Quán Ăn Ngon - Phan Bội Châu,osm-node-721836715,21.0262611,105.8434161,Nhà hàng,"18, Phố Phan Bội Châu",0.0,0.0,0.0,0.0,0.0
Pho 10,osm-node-773601261,21.0304724,105.8488474,Nhà hàng,"10, Phố Lý Quốc Sư",0.0,0.0,0.0,0.0,0.0
Nhà Hàng Chả Cá Thủy Hồng,osm-node-1671744985,21.0361852,105.8469741,Nhà hàng,"12, 12 Hàng Gà, Hoàn Kiếm, Hà Nội, Việt Nam, Phường Hoàn Kiếm, Hà Nội",0.0,0.0,0.0,0.0,0.0
Nhà Hàng Highway 4,osm-node-2175084765,21.029439,105.8092811,Nhà hàng,"575, Ngõ 575 Kim Mã, Quận Ba Đình, Hà Nội",0.0,0.0,0.0,0.0,0.0
Cơm Cường,osm-node-2366849408,21.0174867,105.8484165,Nhà hàng,"14, Nguyễn Bỉnh Khiêm",0.0,0.0,0.0,0.0,0.0
True Viet,osm-node-2495836898,21.0645792,105.8313838,Nhà hàng,"156, Đường Âu Cơ, Hanoi",0.0,0.0,0.0,0.0,0.0
Phở Cường,osm-node-2587491495,21.0339341,105.8548223,Nhà hàng,"23, Phố Hàng Muối, Phường Hoàn Kiếm, Hà Nội",0.0,0.0,0.0,0.0,0.0
Quán Cơm Mậu Dịch,osm-node-3496464405,21.0455452,105.8405476,Nhà hàng,"37, Phố Nam Tràng, Phường Ba Đình, Hà Nội",0.5,0.0,0.0,0.0,0.0
Quan An Ngon,osm-node-3496893646,21.0406918,105.8425141,Nhà hàng,"34, Phố Phan Đình Phùng, Phường Ba Đình, Hà Nội",0.0,0.0,0.0,0.0,0.0
Phở 24,osm-node-3541565714,21.0178536,105.7960898,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Nhà hàng Cánh Buồm,osm-node-3787800312,20.6442433,105.9236269,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Bún Chẳ Đắc Kim,osm-node-4151407589,21.0310565,105.8472795,Nhà hàng,"67, Đường Thành, Phường Hoàn Kiếm, Hà Nội",0.0,0.0,0.0,0.0,0.0
Noodle & Roll,osm-node-4327534896,21.0297478,105.8492754,Nhà hàng,"39C, Phố Lý Quốc Sư",0.0,0.0,0.0,0.0,0.0
Little Hanoi,osm-node-4327575690,21.0334623,105.8537432,Nhà hàng,"16, Phố Hàng Bè, Phường Hoàn Kiếm, Hà Nội",0.0,0.0,0.0,0.0,0.0
Nhà Hàng Highway 4,osm-node-4358971989,21.0348754,105.8475332,Nhà hàng,,0.0,0.25,0.0,0.0,0.0
Porte D' Annam,osm-node-4437567193,21.0290469,105.849678,Nhà hàng,"22, Phố Nhà Thờ",0.0,0.0,0.0,0.0,0.0
Nhà Hàng Hoàng Minh,osm-node-4450138703,20.9791012,105.7836814,Nhà hàng,Mỗ Lao,0.0,0.0,0.0,0.0,0.0
Bun Ca sam Cay Si,osm-node-4481034394,21.0333829,105.8526709,Nhà hàng,,0.0,0.25,0.0,0.0,0.0
Chay Aummee,osm-node-4481407690,21.0457483,105.8425594,Nhà hàng,"26, Phố Châu Long, Phường Ba Đình, Hà Nội",0.0,0.0,0.5,0.0,0.0
Nhà Hàng Hưng Phát,osm-node-4486692390,21.0293208,105.8421665,Nhà hàng,"7, Đường Điện Biên Phủ, Phường Ba Đình, Hà Nội",0.0,0.0,0.0,0.0,0.0
Son Duong Quan,osm-node-4486827794,21.0320782,105.8555601,Nhà hàng,"23, Phố Hàng Tre",0.0,0.0,0.0,0.0,0.0
Nhà Hàng Buk Buk,osm-node-4497894667,21.0315049,105.7691999,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Quán Cơm Chay Bồ Đề,osm-node-4508014325,21.0242062,105.8450881,Nhà hàng,,0.0,0.0,0.5,0.0,0.0
Cơm Chay Sala Quán,osm-node-4523072389,21.0383505,105.8290578,Nhà hàng,"170, Ngọc Hà, Phường Ba Đình, Hà Nội",0.0,0.0,0.5,0.0,0.0
NHÀ HÀNG TRAU THÚY HĂNG,osm-node-4550335190,21.0580568,105.9076863,Nhà hàng,,0.0,0.0,0.5,0.0,0.0
Sixty Six,osm-node-4550335291,21.0339774,105.8486972,Nhà hàng,"66, Phố Hàng Bồ, Phường Hoàn Kiếm, Hà Nội",0.0,0.0,0.0,0.0,0.0
Talky cafe $,osm-node-4709218790,21.0153433,105.8131053,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Nhà Hàng Hồng Hoài,osm-node-4709634891,21.0337915,105.8474622,Nhà hàng,"20, Phố Bát Đàn, Phường Hoàn Kiếm, Hà Nội",0.0,0.0,0.0,0.0,0.0
Minh Minh Quán,osm-node-4745160523,21.0336376,105.9100447,Nhà hàng,"37/42, Phố Sài Đồng",0.5,0.0,0.0,0.0,0.0
Tung's Kitchen,osm-node-4759687343,21.0313543,105.8489788,Nhà hàng,"2, Phố Hàng Bông, Phường Hoàn Kiếm, Hà Nội",0.0,0.0,0.0,0.0,0.0
Quán Lươn Bà Liên,osm-node-4805279021,21.0355549,105.8178405,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Nhà Hàng Chicken Street,osm-node-4810696421,21.0313374,105.8321031,Nhà hàng,Lý Văn Phúc,0.0,0.0,0.0,0.0,0.0
